File Creation Time UTC,2023-01-04 19:00:53
SW Name,iID®DataCaptureSoftware
SW Version,v01.09
SW BuildDate,2020-04-07
SW StartTime,2022-12-28 18:50:20
Lib Version,v1.6.3
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,DOC
,FilterDuplicates
,,Enabled,YES
,,TimeToFilter_Seconds,5

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB030EB4
,0x10,200330,D0.22,98.26.06,2
,0x13,200328,D0.22,98.26.06,2


Timestamp,HexAddress,ReaderID,UID,Collection,DataType,Ant. Number,Temp(°C)
2023-01-04 11:40:01.192,10,200330,25SQCMICSBBF9AB00A975,,DOC,2,-
2023-01-04 11:40:04.598,10,200330,25SQCMICSBBF9AB00A975,,DOC,1,-
2023-01-04 11:40:40.864,10,200330,25SQCMICSBBF9AB00A975,,DOC,2,-
2023-01-04 12:37:17.505,10,200330,25SQCMICSBB405500A97E,,DOC,2,-
2023-01-04 12:37:22.583,10,200330,25SQCMICSBB405500A97E,,DOC,2,-
2023-01-04 12:44:54.473,10,200330,25SQCMICSBB405500A97E,,DOC,2,-
2023-01-04 12:45:01.989,10,200330,25SQCMICSBB405500A97E,,DOC,2,-
