File,Creation,Time,UTC,8/14/22,19:53,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,
SW,Version,v01,9,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,
SW,StartTime,8/14/22,19:50,,,,,,,
Lib,Version,v1,6,3,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,
OS,Version,v10,0,17763,865,,,,,
,,,,,,,,,,
,,,,,,,,,,
Settings,,,,,,,,,,
,Scan,mode,DOC,,,,,,,
,FilterDuplicates,,,,,,,,,
,,Enabled,YES,,,,,,,
,,TimeToFilter_Seconds,5,,,,,,,
,,,,,,,,,,
Found,Hardware,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,
,0x10,200330,D0,22,98,26,6,2.0,,
,0x13,200328,D0,22,98,26,6,2.0,,
,,,,,,,,,,
,,,,,,,,,,
Date,Timestamp,HexAddress,ReaderID,UID,Collection,DataType,Ant,,Number,Temp(°C)
2022-08-14,12:53:15,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,12:53:21,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,12:53:23,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,13:11:01,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,13:11:02,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,13:12:49,100,10,200330,25SQCMICSBBAC0800963C,,DOC,1.0,-,
2022-08-14,13:15:44,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,13:15:45,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,13:23:03,100,10,200330,25SQCMICSBBAC0800963C,,DOC,2.0,-,
2022-08-14,13:23:04,100,10,200330,25SQCMICSBBAC0800963C,,DOC,1.0,-,
2022-08-14,13:30:12,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,13:30:13,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
