File,Creation,Time,UTC,6/27/22,2:52:10,,,,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,,,,
SW,StartTime,6/7/22,22:31:14,,,,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,
6/26/22,19:52:09,296,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:51:59,200,6/27/22,2:51:59,200,29,Departing,x,x
6/26/22,19:52:39,562,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:52:29,400,6/27/22,2:52:29,400,58,Unknown,x,
6/26/22,19:52:49,655,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:52:39,500,6/27/22,2:52:39,500,215,Arriving,x,x
6/26/22,19:52:59,733,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:52:49,600,6/27/22,2:52:49,600,210,Arriving,x,x
6/26/22,19:53:09,812,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:52:59,700,6/27/22,2:52:59,700,216,Unknown,x,
6/26/22,19:53:19,905,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:53:09,800,6/27/22,2:53:09,800,209,Unknown,x,
6/26/22,19:53:29,999,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:53:19,800,6/27/22,2:53:19,800,52,Unknown,x,
6/26/22,19:53:40,77,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,2:53:29,900,6/27/22,2:53:29,900,1,Unknown,x,
6/26/22,19:55:10,765,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,2:55:00,600,6/27/22,2:55:00,600,58,Arriving,x,x
6/26/22,20:31:06,562,13,200328,25SQCMICSBB1E7F008F1F,DPC,6/27/22,3:30:56,400,6/27/22,3:30:56,400,20,Departing,x,x
