File Creation Time UTC;2022-06-30 15:31:59
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-06-07 22:31:14
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB030EB4
;0x10;200330;D0.22;98.26.06;2
;0x13;200328;D0.22;98.26.06;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-06-30 08:31:53,624;10;200330;25SQCMICSBB48140096B1;;DPC;2022-06-30 15:31:43,500;2022-06-30 15:31:43,500;16;Departing;x;x
2022-06-30 08:32:03,718;10;200330;25SQCMICSBB48140096B1;;DPC;2022-06-30 15:31:53,600;2022-06-30 15:31:53,600;1;Unknown;x;
2022-06-30 08:32:54,062;10;200330;25SQCMICSBBE94F009712;;DPC;2022-06-30 15:32:44,000;2022-06-30 15:32:44,000;16;Departing;x;x
2022-06-30 08:32:54,062;10;200330;25SQCMICSBBB31E009696;;DPC;2022-06-30 15:32:44,000;2022-06-30 15:32:44,000;49;Arriving;x;x
2022-06-30 08:34:14,624;10;200330;25SQCMICSBBAA69009BF2;;DPC;2022-06-30 15:34:04,500;2022-06-30 15:34:04,500;30;Arriving;x;x
2022-06-30 08:34:55,483;13;200328;25SQCMICSBB22E0008F0C;;DPC;2022-06-30 15:34:45,400;2022-06-30 15:34:45,400;40;Departing;x;x
2022-06-30 08:35:05,530;13;200328;25SQCMICSBB22E0008F0C;;DPC;2022-06-30 15:34:55,400;2022-06-30 15:34:55,400;16;Unknown;;x
2022-06-30 08:35:55,374;10;200330;25SQCMICSBB0F49009BBC;;DPC;2022-06-30 15:35:45,200;2022-06-30 15:35:45,200;35;Departing;x;x
2022-06-30 08:36:55,765;10;200330;25SQCMICSBB68AC009615;;DPC;2022-06-30 15:36:45,700;2022-06-30 15:36:45,700;8;Unknown;x;
2022-06-30 08:37:05,858;10;200330;25SQCMICSBB68AC009615;;DPC;2022-06-30 15:36:55,700;2022-06-30 15:36:55,700;22;Arriving;x;x
2022-06-30 08:37:56,265;10;200330;25SQCMICSBB48140096B1;;DPC;2022-06-30 15:37:46,100;2022-06-30 15:37:46,100;55;Arriving;x;x
2022-06-30 08:39:26,843;10;200330;25SQCMICSBBD60C009703;;DPC;2022-06-30 15:39:16,700;2022-06-30 15:39:16,700;26;Departing;x;x
2022-06-30 08:40:17,265;10;200330;25SQCMICSBB68AC009615;;DPC;2022-06-30 15:40:07,100;2022-06-30 15:40:07,100;25;Departing;x;x
2022-06-30 08:41:48,499;13;200328;25SQCMICSBB32E900977A;;DPC;2022-06-30 15:41:38,400;2022-06-30 15:41:38,400;56;Arriving;x;x
2022-06-30 08:41:58,562;13;200328;25SQCMICSBB32E900977A;;DPC;2022-06-30 15:41:48,400;2022-06-30 15:41:48,400;10;Unknown;;x
2022-06-30 08:42:18,124;10;200330;25SQCMICSBBAA69009BF2;;DPC;2022-06-30 15:42:08,000;2022-06-30 15:42:08,000;16;Departing;x;x
2022-06-30 08:42:28,780;13;200328;25SQCMICSBB22E0008F0C;;DPC;2022-06-30 15:42:18,600;2022-06-30 15:42:18,600;21;Departing;x;x
2022-06-30 08:43:58,812;10;200330;25SQCMICSBB951200968D;;DPC;2022-06-30 15:43:48,700;2022-06-30 15:43:48,700;35;Departing;x;x
2022-06-30 08:44:49,171;10;200330;25SQCMICSBBD7E60096C3;;DPC;2022-06-30 15:44:39,100;2022-06-30 15:44:39,100;33;Arriving;x;x
2022-06-30 08:45:39,562;10;200330;25SQCMICSBBB3F30096AF;;DPC;2022-06-30 15:45:29,500;2022-06-30 15:45:29,500;13;Departing;x;x
2022-06-30 08:46:40,608;13;200328;25SQCMICSBB2D3F009BAE;;DPC;2022-06-30 15:46:30,500;2022-06-30 15:46:30,500;29;Departing;x;x
2022-06-30 08:47:10,233;10;200330;25SQCMICSBBB3F30096AF;;DPC;2022-06-30 15:47:00,100;2022-06-30 15:47:00,100;6;Unknown;;x
2022-06-30 08:48:10,702;10;200330;25SQCMICSBB61D1009D37;;DPC;2022-06-30 15:48:00,600;2022-06-30 15:48:00,600;14;Departing;x;x
2022-06-30 08:48:11,280;13;200328;25SQCMICSBBBE76008F08;;DPC;2022-06-30 15:48:01,100;2022-06-30 15:48:01,100;5;Departing;x;x
