File,Creation,Time,UTC,7/30/22,4:09:52,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,
SW,StartTime,7/22/22,3:48:23,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,
,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,
7/29/22,22:14:53,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,14:42.5,7/30/22,14:42.5,53,Departing,x,x
7/29/22,22:15:03,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,14:52.6,7/30/22,14:52.6,61,Arriving,x,x
7/29/22,22:15:13,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,15:02.7,7/30/22,15:02.7,24,Unknown,x,
7/29/22,22:15:23,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,15:12.8,7/30/22,15:12.8,2,Unknown,x,
7/29/22,22:15:33,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,15:22.8,7/30/22,15:22.8,172,Arriving,x,x
7/29/22,22:15:43,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,15:32.9,7/30/22,15:32.9,8,Departing,x,x
7/29/22,22:16:03,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,15:53.0,7/30/22,15:53.0,175,Arriving,x,x
7/29/22,22:16:13,13,200328,25SQCMICSBB1E4900B196,DPC,7/30/22,16:03.1,7/30/22,16:03.1,8,Unknown,x,
7/29/22,22:18:54,13,200328,25SQCMICSBB7DEE00B17C,DPC,7/30/22,18:44.3,7/30/22,18:44.3,155,Unknown,x,
7/30/22,1:24:13,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,24:02.7,7/30/22,24:02.7,102,Arriving,x,x
7/30/22,1:25:43,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,25:33.3,7/30/22,25:33.3,11,Unknown,x,
