File Creation Time UTC;2022-08-04 06:18:14
SW Name;iID®DataCaptureSoftware
SW Version;v01.09
SW BuildDate;2020-04-07
SW StartTime;2022-07-24 03:28:01
Lib Version;v1.6.3
Company;Micro-Sensys GmbH
OS Version;v10.0.17763.865


Settings
;Scan mode;MPC
;;DataGetDelay_Seconds;10

Found Hardware
;Address;ReaderID;HW-Info;FW-Info;Num-Antennas
;0x01;25SQCMICSCB30F42
;0x10;200474;D0.22;98.26.0D;2
;0x11;200481;D0.22;98.26.0D;2


Timestamp;HexAddress;ReaderID;UID;Collection;DataType;FirstTimeFound;LastTimeFound;NumFound;Direction;Ant1;Ant2
2022-08-04 02:19:36,428;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:19:26,300;2022-08-04 09:19:26,300;50;Unknown;x;
2022-08-04 02:19:46,506;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:19:36,400;2022-08-04 09:19:36,400;3;Unknown;x;
2022-08-04 02:35:53,616;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:35:43,500;2022-08-04 09:35:43,500;1;Unknown;;x
2022-08-04 02:36:03,725;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:35:53,600;2022-08-04 09:35:53,600;3;Unknown;;x
2022-08-04 02:36:13,741;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:36:03,700;2022-08-04 09:36:03,700;130;Departing;x;x
2022-08-04 02:36:23,819;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:36:13,700;2022-08-04 09:36:13,700;103;Unknown;x;
2022-08-04 02:43:06,819;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:42:56,700;2022-08-04 09:42:56,700;74;Unknown;x;
2022-08-04 02:43:16,881;11;200481;25SQCMICSBBB8A000B0F5;;DPC;2022-08-04 09:43:06,800;2022-08-04 09:43:06,800;59;Unknown;x;
2022-08-04 03:24:35,209;11;200481;25SQCMICSBB53CE00AA80;;DPC;2022-08-04 10:24:25,100;2022-08-04 10:24:25,100;67;Departing;x;x
2022-08-04 03:24:45,272;11;200481;25SQCMICSBB53CE00AA80;;DPC;2022-08-04 10:24:35,200;2022-08-04 10:24:35,200;43;Unknown;x;
2022-08-04 05:00:58,256;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:00:48,100;2022-08-04 12:00:48,100;79;Departing;x;x
2022-08-04 05:01:48,631;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:01:38,500;2022-08-04 12:01:38,500;14;Unknown;x;
2022-08-04 05:01:58,694;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:01:48,600;2022-08-04 12:01:48,600;7;Unknown;x;
2022-08-04 05:02:18,819;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:02:08,700;2022-08-04 12:02:08,700;1;Unknown;x;
2022-08-04 05:02:28,912;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:02:18,800;2022-08-04 12:02:18,800;6;Unknown;x;
2022-08-04 05:10:42,600;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:10:32,500;2022-08-04 12:10:32,500;35;Unknown;x;
2022-08-04 05:32:01,975;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:31:51,900;2022-08-04 12:31:51,900;9;Unknown;x;
2022-08-04 05:32:12,069;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:32:01,900;2022-08-04 12:32:01,900;23;Unknown;x;
2022-08-04 05:32:52,381;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:32:42,300;2022-08-04 12:32:42,300;3;Unknown;;x
2022-08-04 05:33:02,475;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:32:52,300;2022-08-04 12:32:52,300;6;Unknown;;x
2022-08-04 05:33:12,600;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:33:02,400;2022-08-04 12:33:02,400;5;Unknown;;x
2022-08-04 05:36:24,037;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:36:13,900;2022-08-04 12:36:13,900;5;Unknown;x;
2022-08-04 05:37:34,647;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:37:24,500;2022-08-04 12:37:24,500;2;Unknown;x;
2022-08-04 05:37:44,709;11;200481;25SQCMICSBB7AA400B08E;;DPC;2022-08-04 12:37:34,600;2022-08-04 12:37:34,600;42;Departing;x;x
2022-08-04 05:37:44,709;11;200481;25SQCMICSBB259D00B1B3;;DPC;2022-08-04 12:37:34,600;2022-08-04 12:37:34,600;1;Unknown;x;
